"filename", "language", "Ignore", "PHP", "JavaScript", "Batch", "YAML", "Markdown", "XML", "JSON", "Docker", "Shell Script", "Properties", "PostCSS", "comment", "blank", "total"
"c:\laragon\www\laravelshare\database\migrations\2025_07_16_090002_create_security_logs_table.php", "PHP", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 5, 37
"c:\laragon\www\laravelshare\database\migrations\2025_07_16_090003_add_security_fields_to_users_table.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 32
"c:\laragon\www\laravelshare\database\seeders\AdminUserSeeder.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 26
"c:\laragon\www\laravelshare\database\seeders\DatabaseSeeder.php", "PHP", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 5, 23
"c:\laragon\www\laravelshare\debug-enhanced.php", "PHP", 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 23, 147
"c:\laragon\www\laravelshare\debug.php", "PHP", 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17, 101
"c:\laragon\www\laravelshare\docker\apache-config.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 6, 7, 31
"c:\laragon\www\laravelshare\docker\startup.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 12, 14, 67
"c:\laragon\www\laravelshare\logs.php", "PHP", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 79
"c:\laragon\www\laravelshare\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 2325, 0, 0, 0, 0, 0, 1, 2326
"c:\laragon\www\laravelshare\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 18
